Sample ID,Sample ID 2,Ala,Ala.sd,Asx,Asx.sd,Glx,Glx.sd,Gly,Gly.sd,His,His.sd,Ile,Ile.sd,Leu,Leu.sd,Lys,Lys.sd,Met,Met.sd,Phe,Phe.sd,Thr,Thr.sd,Tyr,Tyr.sd,Val,Val.sd
S1,Seagrasses,-11.4,0.1,-10.1,0.2,-12.7,0.3,-6.5,0.1,,,-13.9,0,-19.5,0.2,-9.5,0.2,,,-14.1,0.1,-5.6,0.2,-17,0.1,-17.3,0
S2,Seagrasses,-12.7,0.1,-12.2,0,-15.5,0,,,,,-14.5,0.1,-20.3,0.1,-10.3,1.2,,,-15.1,0,-5.7,0.1,-18.2,0.4,-18.3,0.1
S3,Seagrasses,-13.9,0.2,-12.7,0.2,-15.9,0.1,-10.3,0.4,,,-14.5,0.1,-21.7,0,-11.2,0.6,,,-15.6,0.3,-7.5,0.2,-18.6,0.1,-19.4,0
S4,Seagrasses,-14.4,0.2,-13.6,0.4,-16.4,0.1,-9.2,0.3,,,-14.9,0.1,-22.4,0.5,-11.5,0.2,,,-17.6,0.1,-6.6,0.3,-18.8,0,-20.1,0.1
S5,Seagrasses,-13.8,0.1,-14,0,-16.9,0.1,-9.1,0.3,,,-15.1,0.1,-22.5,0.1,-11.5,0.3,,,-16.5,0.3,-5.7,0.6,-18.8,0,-19.5,0
S6,Seagrasses,-12,0.2,-15.2,0.8,-15.2,0,-6.7,0.3,,,-17.5,0.1,-21.4,0.1,-12.7,0.1,,,-17,0.1,-12.2,0.2,-17.1,0.2,-20.1,0
S7,Seagrasses,-16.7,0.1,-17.7,0.9,-17.7,0.1,-9.3,0,,,-19.8,0.5,-23.1,0.2,-13,0.2,,,-17.6,0.1,,,-19.3,0.1,-21,0.1
pL1,Seston,-27.2,0,-24.6,0.2,-28.6,0,-24.6,0,,,-33.5,0.2,-37.5,0,-26.6,0.2,-28.9,0.6,-36.1,0.1,,,-33.1,0,-35.7,0.3
pL2,Seston,-31.6,0.5,-28.8,0.1,-34.1,0.1,-30.7,1.1,,,-39,0.3,-42.6,0.3,-29.6,0.3,-31.1,0.4,-41.3,0.1,-23.5,4.5,-36.3,0.1,-41.7,0.2
sL1,Soil,-25.2,0.2,-20.5,0.2,-25.1,0.1,-19.7,0.1,,,-28.2,0.1,-33.6,0.1,-25.3,0.6,-28,0.6,-29.5,0.1,-16.6,0.2,-27.9,0.1,-32.6,0.3
sL2,Soil,-23.3,0.1,-16.3,0.6,-22.8,0,-16.5,0.1,,,-26.7,0.1,-31.9,0.1,-23.2,0.2,-25.5,0.2,-28.4,0.1,-17.8,0.5,-27.4,0.1,-30.9,0
sL4,Soil,-22.7,0.1,-21,0.1,-22.4,0.1,-16.3,0.1,,,-24.6,0.1,-30.9,0.1,-23,0.3,,,-27.2,0.1,-16.2,0.1,-26.4,0.3,-30,0.1
sL5,Soil,-21,0.1,-19.7,0.6,-21.8,0.2,-13.7,0.2,,,-24.2,0.1,-29,0.6,-21.2,0.2,-25.5,0.4,-26.4,0.1,-15.9,0.5,-25,0.2,-28.1,0.5
